日付,相手名,獲得Pt,自S1,敵S1,自S2,敵S2,自S3,敵S3,結果,メモ
26/01/22,シュウゴ,110,225188,66221,119681,132989,232891,81345,WIN,
26/01/22,HIASOBI,130,239380,154790,132894,175695,406262,135628,WIN,
26/01/22,プロデューサー,50,173381,391981,134556,140381,218058,442582,LOSE,
26/01/22,底辺受験生,50,151300,186648,113851,259851,500140,129453,LOSE,
26/01/22,シチリアのマフィア,120,152358,74674,136833,76729,338478,112967,WIN,
26/01/23,ふくたろ,91,194516,42280,100360,65352,319813,54253,WIN,
26/01/23,BANE,101,267671,56529,179701,56261,163716,158826,WIN,
26/01/23,あきら,104,144296,56468,179991,69595,395215,49859,WIN,
26/01/23,Quatre,112,185387,127099,138876,73522,139720,53754,WIN,
26/01/23,Ryo,113,144531,54482,154024,51261,284872,55308,WIN,
26/01/24,tako3,113,203027,50995,151606,56735,286036,44724,WIN,
26/01/24,カトー,110,212294,92196,201114,100606,326698,69034,WIN,
26/01/24,うどん,110,203913,50439,151458,70891,215853,77559,WIN,
26/01/24,トロ,109,207036,163352,90932,174817,269814,79674,WIN,
26/01/24,太陽賛美,110,103348,138822,133039,27393,260895,96015,WIN,
26/01/25,プロデューサー,111,289876,131082,156349,87442,353842,84142,WIN,
26/01/25,シシェ,112,196085,67143,123116,84367,293431,97574,WIN,
26/01/25,ゆづきち,111,267939,126417,139857,91915,182245,119431,WIN,
26/01/25,ななしぃ,111,276924,27934,179285,73942,272576,161697,WIN,
26/01/25,りょ,110,198238,93071,122388,174659,229422,33640,WIN,
26/01/26,部分分数分解,98,195250,61323,142492,160601,212171,173859,WIN,
26/01/26,いくや,40,120650,110295,90359,235165,194307,384965,LOSE,
26/01/26,purify,40,114997,340910,134479,193580,237861,135778,LOSE,
26/01/26,kei,120,183847,136455,145066,345114,322580,228404,WIN,
26/01/26,メープル,82,198564,354562,172239,129465,396380,159322,WIN,
26/01/27,とりえふ,40,133243,138278,122588,252559,424325,368853,LOSE,
26/01/27,kei,40,175412,204215,169077,291492,405478,174693,LOSE,
26/01/27,フウ,119,152005,84286,109772,177071,309770,215083,WIN,
26/01/27,ハチP,121,188132,161777,146324,126834,289920,207392,WIN,
26/01/27,TEN4,40,144742,387151,115325,181499,311233,567424,LOSE,
26/01/28,,,,,,,,,,
26/01/28,,,,,,,,,,
26/01/28,,,,,,,,,,
26/01/28,,,,,,,,,,
26/01/28,,,,,,,,,,
26/01/29,,,,,,,,,,
26/01/29,,,,,,,,,,
26/01/29,,,,,,,,,,
26/01/29,,,,,,,,,,
26/01/29,,,,,,,,,,
26/01/30,,,,,,,,,,
26/01/30,,,,,,,,,,
26/01/30,,,,,,,,,,
26/01/30,,,,,,,,,,
26/01/30,,,,,,,,,,
26/01/31,,,,,,,,,,
26/01/31,,,,,,,,,,
26/01/31,,,,,,,,,,
26/01/31,,,,,,,,,,
26/01/31,,,,,,,,,,
26/02/01,,,,,,,,,,
26/02/01,,,,,,,,,,
26/02/01,,,,,,,,,,
26/02/01,,,,,,,,,,
26/02/01,,,,,,,,,,
26/02/02,,,,,,,,,,
26/02/02,,,,,,,,,,
26/02/02,,,,,,,,,,
26/02/02,,,,,,,,,,
26/02/02,,,,,,,,,,
26/02/03,,,,,,,,,,
26/02/03,,,,,,,,,,
26/02/03,,,,,,,,,,
26/02/03,,,,,,,,,,
26/02/03,,,,,,,,,,
26/02/04,,,,,,,,,,
26/02/04,,,,,,,,,,
26/02/04,,,,,,,,,,
26/02/04,,,,,,,,,,
26/02/04,,,,,,,,,,
26/02/05,,,,,,,,,,
26/02/05,,,,,,,,,,
26/02/05,,,,,,,,,,
26/02/05,,,,,,,,,,
26/02/05,,,,,,,,,,
26/02/06,,,,,,,,,,
26/02/06,,,,,,,,,,
26/02/06,,,,,,,,,,
26/02/06,,,,,,,,,,
26/02/06,,,,,,,,,,
,,,,,,,,,,
